genero,localidad,tipo_tramite,clase,fecha_otorgamiento,fecha_inicio_tramite,fecha_vencimiento,estado_licencia
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,22/ene/2024,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,B.1,2/ene/2025,13/dic/2024,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",2/ene/2025,16/dic/2024,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.2",2/ene/2025,18/dic/2024,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,18/dic/2024,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,20/dic/2024,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",2/ene/2025,30/dic/2024,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,30/dic/2024,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,2/ene/2025,2/ene/2025,2/ene/2028,VIGENTE
MASCULINO,VENADO TUERTO,DUPLICADO POR CAMBIO DE DATOS,E.1,2/ene/2025,2/ene/2025,19/nov/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, B.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,E.1,2/ene/2025,2/ene/2025,2/ene/2027,VIGENTE
MASCULINO,SAN EDUARDO,RENOVACIÓN,"B.2, G.1, G.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, E.1",2/ene/2025,2/ene/2025,2/ene/2027,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.2",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2028,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,B.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, E.1",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.2.2, E.1",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,D.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,D.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, E.1",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, E.1",2/ene/2025,2/ene/2025,2/ene/2027,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,B.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, E.1, E.2, G.1, G.2",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.3, B.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, D.3, E.1",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,E.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, E.1",2/ene/2025,2/ene/2025,2/ene/2027,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.2.1, B.2",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,B.2,2/ene/2025,2/ene/2025,2/ene/2030,NO VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",2/ene/2025,2/ene/2025,2/ene/2028,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,E.1,2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",2/ene/2025,2/ene/2025,2/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,A.2.1,3/ene/2025,23/dic/2024,3/ene/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,3/ene/2025,27/dic/2024,3/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.2.1, E.1",3/ene/2025,2/ene/2025,3/ene/2027,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"E.1, E.2",3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,B.1,3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, E.1, E.2, G.1, G.2",3/ene/2025,3/ene/2025,3/ene/2027,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",3/ene/2025,3/ene/2025,3/ene/2028,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, E.1, E.2",3/ene/2025,3/ene/2025,3/ene/2027,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, E.1",3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,3/ene/2025,3/ene/2025,3/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN CON AMPLIACIÓN,"A.3, E.1",3/ene/2025,3/ene/2025,3/ene/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, B.2, D.1, D.3",3/ene/2025,3/ene/2025,3/ene/2027,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,3/ene/2025,3/ene/2025,3/ene/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, E.1, E.2",3/ene/2025,3/ene/2025,3/ene/2027,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,B.1,3/ene/2025,3/ene/2025,3/ene/2030,VIGENTE
