genero,localidad,tipo_tramite,clase,fecha_otorgamiento,fecha_inicio_tramite,fecha_vencimiento,estado_licencia
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, E.1, G.1",1/jul/2025,12/jun/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,1/jul/2025,19/jun/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",1/jul/2025,19/jun/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",1/jul/2025,23/jun/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,1/jul/2025,30/jun/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,1/jul/2025,30/jun/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.1",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.1,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, B.2",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, E.1",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.2",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,SAN EDUARDO,RENOVACIÓN,"A.2.1, B.1",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.3, B.2",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.2, E.2, G.1, G.2",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, E.1",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,ORIGINAL,A.2.1,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.2, D.3",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.1,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.2",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,"A.2.1, B.2, D.1",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
MASCULINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.1,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,"A.2.2, B.1",1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
MASCULINO,VENADO TUERTO,ORIGINAL,"A.2.1, B.1",1/jul/2025,1/jul/2025,1/jul/2026,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,B.2,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
FEMENINO,VENADO TUERTO,RENOVACIÓN,A.2.1,1/jul/2025,1/jul/2025,1/jul/2030,VIGENTE
