Conceptos,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SETIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
A. SALDO DISPONIBILIDADES AL INICIO,,,,,,,,,,,,
Caja,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Recaudaciones a depositar.,"5.099.884,85 ","2.789.501,56 ","3.636.307,35 ","3.774.685,32 ","2.632.760,22 ","2.142.266,23 ","2.218.428,89 ","2.953.837,35 ","2.288.933,15 ","1.772.055,82 ","3.276.979,94 ","2.215.870,66 "
Bancos.,"159.755.190,01 ","117.096.047,80 ","156.543.129,44 ","198.167.336,69 ","194.415.627,37 ","224.255.645,75 ","186.400.101,78 ","186.481.522,96 ","184.898.878,95 ","269.892.228,58 ","267.613.225,94 ","185.237.837,26 "
Pazos Fijos ,"238.179.170,94 ","292.142.449,41 ","393.098.166,62 ","442.113.744,15 ","459.380.897,29 ","442.826.586,07 ","459.738.843,57 ","530.156.910,12 ","569.445.262,12 ","617.484.576,93 ","669.063.619,16 ","765.780.251,42 "
Inversiones,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","324.890.503,47 "
TOTAL,"403.034.245,80 ","412.027.998,77 ","553.277.603,41 ","644.055.766,16 ","656.429.284,88 ","669.224.498,05 ","648.357.374,24 ","719.592.270,43 ","756.633.074,22 ","889.148.861,33 ","939.953.825,04 ","1.278.124.462,81 "
B. INGRESOS,,,,,,,,,,,,
Ingresos tributarios.,"162.937.930,26 ","171.645.307,15 ","158.614.152,81 ","201.597.519,87 ","201.926.503,90 ","229.390.367,36 ","230.647.055,90 ","246.287.256,98 ","242.079.187,54 ","263.516.845,14 ","230.182.652,31 ","227.053.051,96 "
Ingresos contribución de mejoras.,"6.982.476,76 ","6.262.609,38 ","23.246.379,22 ","8.417.073,89 ","4.620.244,41 ","4.780.935,08 ","5.214.312,44 ","6.959.074,50 ","8.240.142,01 ","9.451.521,30 ","14.329.916,31 ","52.516.805,58 "
Coparticipación nacional,"55.905.044,79 ","53.875.564,77 ","49.812.421,18 ","45.109.866,53 ","64.761.735,41 ","84.504.830,09 ","79.550.408,65 ","70.374.665,24 ","146.465.078,35 ","81.841.356,07 ","434.821.769,40 ","103.081.742,63 "
