centro,direccion,telefono,email,tipo_centro,dias_y_horarios
Centro integrador comunitario (CIC),Vuelta de Obligado y Falucho,3462371420,tirofederal64@gmail.com / cicgestiondeturnos@gmail.com ,Adultos,Todos los días 7 a 20 h
Iturbide,Caparrós 351,3462589975,equipoiturbide@gmail.com ,Pediátrico,Lunes a viernes 7 a 20 h
Victoria,Chile 1350,3462588367,victoriacsvt@gmail.com,Adultos,Lunes a viernes 7 a 13 h
Ciudad Nueva,Amincton 585,3462310351,mvtciudadnueva@yahoo.com ,Adultos,Lunes a viernes 7 a 20 h
Asistencia pública municipal (APM),Brown 478,3462528274,asistenciapublicamvt@gmail.com,Pediátrico/Mujeres,Lunes a viernes 7 a 17 h
San José Obrero,Quintana 1300 (Quintana y Lisandro de la Torre),3462580877,mvtsanjose@gmail.com,Adultos,Lunes a viernes 7 a 20 h
Rivadavia,26 de Abril 835,3462310331,mvt.rivadavia@gmail.com,Adultos,Lunes a viernes 7 a 13 h
Juan XXIII,Saenz Peña 1980 (Saenz Peña y Monteagudo),3462580709,mvtjuanXXIII@yahoo.com,Pediátrico,Lunes a viernes 7 a 13 h/Prosane 15 a 20 h
Malvinas Argentinas,Valdez 555,3462310349,argentinasmalvinas3@gmail.com,Adultos,Lunes a viernes 7 a 20 h
San Vicente,Dorrego 2600 (Dorrego y Goumond),3462618306,mvtsanvicente@gmail.com,Adultos,Lunes a viernes 7 a 15 h
Villa Casey,Mariano López 1344,3462312535,mvtvillacasey@yahoo.com / cs.villacasey@gmail.com ,Pediátrico,Lunes a viernes 7 a 13 h
Santa Rosa,Balcarce 4151,3462310350,centrodesaludsantarosa7@gmail.com,Adultos,Lunes a viernes 7 a 13 h
