genero,capacitación,año
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,MANEJO DE AUTOELEVADORES,2021
M,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
M,Manejo de Redes Sociales,2021
M,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
M,Manejo de Redes Sociales,2021
M,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Manejo de Redes Sociales,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
M,Marketing Digital,2021
M,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
M,Marketing Digital,2021
M,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
M,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
F,Marketing Digital,2021
M,Marketing Digital,2021
F,Marketing Digital,2021
M,Marketing Digital,2021
M,Marketing Digital,2021
F,Marketing Digital,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
M,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,LIQUIDACION  DE SUELDOS,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
M,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
F,ECOMMERCE,2021
