genero,capacitación,año,institución_empresa
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
F,FUTURAS-SOLDADORA,2022,MVT-REDES
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
M,REPINTADO AUTOMOTOR,2022,ASA
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
F,EXCEL BASICO,2022,MVT
M,EXCEL BASICO,2022,MVT
