genero,capacitación,año,carga_horaria,instructor,institución_empresa
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
F,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
F,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
F,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
F,Conducción Segura en Autoelevadores,2024,20hs,Amilcar Corvalán,Serfin S.A
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
F,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
F,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
M,Conducción Segura en Autoelevadores,2024,20hs,,"Syngenta, Robinson"
