nombre,nombre_fantasia,direccion
Alessandri Andrea - Alessandri  Pablo                                                              ,Casa De La Tercera Edad,Mitre 101
"Balmaceda, German                                                                                   ",Hogar Belgrano,Belgrano 1270
"Balmaceda, Matías Paul",Hogar Marconi,Av. Marconi 250
Barale Carlos Alberto,Hogar Renacer ,Junin 581
Barale Carlos Alberto,Hogar Renacer 2,Casey 128
Barale Carlos Alberto,Hogar Renacer 3,Sarmiento 1139
Benitez Marcela Noemi                                                                               ,La Casa De Los Nonos,Av. Marconi 390
Bratanich Liliana Antonia                                                                           ,Hogar Shalom,Los Aromos 483
"Chocori, Graciela                                                                                   ",Caminemos Juntos,Pellegrini 138
"Coria, Jesica Marilin                                                                               ",Hogar La Trinidad,Roca 1240
"De Buono, Maximiliano Isaias",El Hogar Iii,Lavalle 1083
"Dominguez, Luciana Carolina                                                                                  ",Pampa Ii,Alvear 1125
"Fernandez, Mónica Noemí                                                                             ",Jenouir,Italia 430
"Ferreyra, Ana Lorena Lujan                                                              ",Ta Aromby,Av. Brown 684
"Gallo, Maria Lorena",Allegra S.A.S.,Dorrego 575
Longoni Maria Camila,Hogar Nieves,Caseros 86
Longoni Maria Camila,Hogar Nieves Ii,Laprida 61
"Sanz Ferreira, Lucas Martin                                                                         ",Ta Aromby,Maipu 1188
Varela Maria Elizabeth                                                                              ,Yawehe,9 De Julio 1626
