jardin,direccion_jardin,turno,genero,sala
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,1
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,2
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Mañana,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Masculino,3
Burbujitas ,Leoncio de la Barrera 298 ,Tarde,Femenino,3
Chispitas ,Balcarce 4135 ,Mañana,Femenino,1
Chispitas ,Balcarce 4135 ,Mañana,Femenino,2
Chispitas ,Balcarce 4135 ,Mañana,Femenino,2
Chispitas ,Balcarce 4135 ,Mañana,Masculino,2
Chispitas ,Balcarce 4135 ,Mañana,Masculino,2
Chispitas ,Balcarce 4135 ,Mañana,Masculino,2
Chispitas ,Balcarce 4135 ,Mañana,Femenino,3
Chispitas ,Balcarce 4135 ,Mañana,Femenino,3
Chispitas ,Balcarce 4135 ,Mañana,Femenino,3
Chispitas ,Balcarce 4135 ,Mañana,Femenino,3
Huellitas ,Vuelta de Obligado 298 ,Tarde,Femenino,1
Huellitas ,Vuelta de Obligado 298 ,Tarde,Masculino,1
Huellitas ,Vuelta de Obligado 298 ,Tarde,Masculino,1
Huellitas ,Vuelta de Obligado 298 ,Tarde,Masculino,1
Huellitas ,Vuelta de Obligado 298 ,Tarde,Femenino,1
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Femenino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Femenino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Mañana,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Tarde,Femenino,2
Huellitas ,Vuelta de Obligado 298 ,Tarde,Masculino,2
Huellitas ,Vuelta de Obligado 298 ,Tarde,Femenino,2
