genero,nivel,institucion,año_en_curso,carrera
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Segundo año,No corresponde
Masculino,Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Sexto grado,No corresponde
Femenino,Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Cuarto grado,No corresponde
Masculino,Secundario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Cuarto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Quinto año,No corresponde
Masculino,Primario,"ESCUELA NRO 582 ""9 DE JULIO""",Quinto grado,No corresponde
Femenino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Tercer año,Coordinador y Técnico en Turismo
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Tercer año,No corresponde
Femenino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Tercer año,Tec. Sup. en Trabajo Social
Femenino,Primario,"Escuela Part. Nro. 1023 ""Santa Rosa""",Cuarto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Tercer año,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Recursos Humanos
Masculino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Segundo año,Tec. Sup. En desarrollo de software
Femenino,Primario,"ESCUELA NRO 582 ""9 DE JULIO""",Cuarto grado,No corresponde
Femenino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Quinto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Tercer año,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Comercio Exterior
Masculino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Séptimo grado,No corresponde
