fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,duracion,cantidad_horas
2/2024,Recomendaciones Limpieza intensiva Edificios Escolares,Competencias técnicas,Dirección de Educación (Jardines),22,Daniel Virelaude / Ana María Ludueña,Dirección de Recursos Hunanos,Presencial,"Jardín de Infantes ""Semillitas""",,2
4/2024,Curso Online de DT en NewCom Nacional e Internacional,Competencias técnicas,Dirección de Deportes (Agente: Sonia Willener),1,"Di Nápoli, Pedro",Asociación de Técnicos de NewCom Argentina (A.T.N.A),Virtual,Zoom,,40
4/2024,Aires Acondicionados y Refrigeración,Competencias técnicas,Personal de mantenimiento de las diferentes áreas municipales.                                                            8 inscriptos (2 becas de UTN al 100%)                                       2 abandonaron,6,"Ruiz, Ariel",UTN - FRVT,Presencial,UTN - FRVT,,144
4/2024,"Diplomatura en Transporte, Movilidad, Seguridad Vial y Logística",Competencias técnicas,Subsecretaría de Movilidad - Agente: Walter Lezcano (TUP),1,UTN - FRVT,UTN - FRVT,Sincrónicas y asincrónicas,UTN - FRVT,,192
6/2024,Herramientas de Planificación y Gestión Urbana,Competencias técnicas,"Subsecretaría de Planeamiento - Secretaría de Gobierno. (Arq. Sabina Bushara (abandonó), Arq. Melisa Folguera, Arq. Paula Segala, Arq. Ayelen Cipolletti (abandonó), Arq. Yanina Epifano.)",3,Arq. Fabiana Escobar Arq. Florencia Massetto,Colegio de Arquitectos de Santa Fe,Híbrida,Zoom / Presencial Rosario,,24
4/2024,Excel Básico - Manejo de planillas y funciones básicas.,Informática,Agentes y funcionarios pertenecientes a dependencias de la Administración Pública Municipal que por sus funciones utilizan planillas de cálculo como un instrumento que facilita su tarea.,13,Jorge Egea,Dirección de Recursos Hunanos,Presencial,Distrito E,,30
4/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Trabajadores de la Secretaría de Servicios Públicos y Obras Públicas,27,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Secretaría de Servicios Públicos y Obras Públicas,,3
5/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Empleados de la Subsecretaría de Movilidad,19,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Subsecretaría de Movilidad,,3
5/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,"Producción, Comunicación, Desarrollo Humano",23,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Cuartel Bomberos,,3
6/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Abierto a todo el personal,25,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Cuartel Bomberos,,3
6/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Abierto a todo el personal,24,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Cuartel Bomberos,,3
7/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Abierto a todo el personal,18,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Cuartel Bomberos,,3
7/2024,"RCP, Desobstrucción de vías aéreas y Uso de DEA",Salud,Jardines Municipales,17,Oficial Inspector - Instructor - Cuerpo Activo BVVT,Dirección de Recursos Humanos,Presencial,En Cuartel Bomberos,,3
4/2024,Protección contra incendios y uso de extintores portátiles,Seguridad e higiene,Personal de la Direccion de Educación,41,Daniel Virelaude / Leandro Cingolani,Dirección de Recursos Humanos,Presencial,Casa del Bicentenario,,2
5/2024,Protección contra incendios y uso de extintores portátiles,Seguridad e higiene,Empleados de Planta de Tratamiento,23,Daniel Virelaude / Leandro Cingolani,Dirección de Recursos Humanos,Presencial,Planta de Tratamiento,,2
5/2024,Protección contra incendios y uso de extintores portátiles,Seguridad e higiene,Empleados de la Planta de Reciclaje,13,Daniel Virelaude / Leandro Cingolani,Dirección de Recursos Humanos,Presencial,Basural,,2
7/2024,Protección contra incendios y uso de extintores portátiles,Seguridad e higiene,Educación Jardines maternales,19,Daniel Virelaude / Leandro Cingolani,Dirección de Recursos Humanos,Presencial,Educación - Jardines Municipales,,2
6/2024,Taller en Ergonomía Laboral,Competencias técnicas,"Empleados de la Dirección de RRHH: RRHH, Capacitación y Desarrollo, Mayordomía y Mantenimiento, Medicina Laboral, CDR.",23,Cátedra de Práctica Pre profesional - Licenciatura en T.O. - UGR,Dirección de Recursos Humanos,Presencial,Sala de Reuniones Garnier,,3
11/2024,Mejora de Procesos en pintado de cartelería y mantenimiento general,Competencias técnicas,Empleados de la Subsecretaría de Movilidad,13,Andrés Bardot - Capacitador de WEG Argentina,Dirección de Recursos Humanos,Presencial,Distrito E / Taller TUP,,9
8/2024,Taller: Tu voz en movimiento,Competencias técnicas,Entrenadores deportivos y docentes de la Dirección de Deportes,26,Lic. Eliana Coccia y Lic. Alejandra Zabala (fonoaudiólogas),Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas,,2
7/2024,Taller: Activamos la Escucha,Competencias técnicas,Personal de todas las áreas,14,Psic. Andrea Sopranzi,Dirección de Recursos Humanos - Dirección de Desarrollo Humano,Presencial,SUM Héroes de Malvinas,,2
4/2024,Taller: Activamos la Escucha,Competencias técnicas,Personal de todas las áreas,15,Psic. Andrea Sopranzi,Dirección de Recursos Humanos - Dirección de Desarrollo Humano,Presencial,SUM Héroes de Malvinas,,2
