fecha,nombre_capacitacion,area_tematica,areas_destinatarias,agentes_capacitados,capacitador,organizador,modalidad,lugar_plataforma,cantidad_encuentros,cantidad_horas
2/2025,Recomendaciones Limpieza intensiva Edificios Escolares,SEGURIDAD E HIGIENE,Personal auxiliar de los Jardines Municipales,29,Daniel Virelaude / Ana María Ludueña,Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas,1,2
3/2025,Curso Nivel 1 NewCom Feva 2025,COMPETENCIAS TÉCNICAS,Dirección de Deportes (Agente: Sonia Willener),1,Comisión Técnica Nacional,Newcom FeVA,Presencial,Rosario,3,26
4/2025,Electricidad domiciliaria,COMPETENCIAS TÉCNICAS,Personal de mantenimiento de las diferentes áreas municipales.                                                            3 inscriptos,2,Escuela de Capacitaciones y Oficios,UTN - FRVT,Presencial,UTN - FRVT,46,217
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal de las áreas: Servicios Públicos, Obras Públicas, Espacios Públicos, Medioambiente",26,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Matera de Servicios Públicos,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal de las áreas: Servicios Públicos, Obras Públicas, Espacios Públicos, Medioambiente",19,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Matera de Servicios Públicos,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal del Tribunal de Faltas, Desarrollo Humano, CDR y Deportes.",24,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal del Tribunal de Faltas, Desarrollo Humano, CDR y Deportes.",21,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal del Palacio Municipal, Desarrollo Económico, CCM, Educación",32,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Sala Garnier,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,"Personal del Palacio Municipal, Desarrollo Económico, CCM, Educación",17,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Sala Garnier,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,Personal de Control Urbano y Movilidad,29,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Sala Garnier,1,2
2/2025,Recomendaciones para la prevención de Accidentes In Itínere,SEGURIDAD E HIGIENE,Personal de Control Urbano y Movilidad,33,Daniel Virelaude,Dirección de Recursos Humanos,Presencial,Sala Garnier,1,2
3/2025,Metodología LEAN / Módulo II: Taller de Observación en Planta de Tratamiento de Residuos Sólidos Urbanos.,MEJORA CONTÍNUA,Personal que desarrolla tareas en aspectos de Seguridad e Higiene,14,Ing. Gabriel Schwarzbaum,Dirección de Recursos Humanos,Presencial,Planta de Tratamiento de Residuos,1,8
5/2025,Metodología LEAN / Módulo I: Introducción al LEAN,MEJORA CONTÍNUA,Personal de diferentes áreas,18,Ing. Gabriel Schwarzbaum,Dirección de Recursos Humanos,Presencial,Casa Museo Cayetano Silva,1,8
3/2025,Formación: Desarrollo de Habilidades de Liderazgo,ADMINISTRACIÓN Y GESTIÓN ORGANIZACIONAL,Personal jerárquico designado por cada Secretaría.,69,Leylen Powell,Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas,7,13
12/2024,Riesgo Eléctrico: Identificación y adecuación en actos de inspección,COMPETENCIAS TÉCNICAS,Personal de control de inspección de la Dirección de Inspección General y de la Dirección de Industria y Comercio.,23,Ezequiel Wasinger,Dirección de Inspección General,Presencial,Sala Garnier,1,2
3/2025,Requerimientos de Seguridad en Inspecciones de diferentes rubros,COMPETENCIAS TÉCNICAS,Personal de Inspección la Dirección de Inspección General.,24,Ariel Oliva,Dirección de Inspección General,Presencial,Sala Garnier,1,2
3/2025,Aspectos de Seguridad Habilitaciones Digitales,COMPETENCIAS TÉCNICAS,Personal de Inspección la Dirección de Industria y Comercio,8,Esequiel Ruiz y Ariel Oliva,Dirección de Inspección General,Presencial,Sala Garnier,2,4
6/2025,Ruidos molestos al vecindario,COMPETENCIAS TÉCNICAS,Personal de Inspección la Dirección de Inspección General.,14,Ariel Oliva,Dirección de Inspección General,Presencial,Sala Garnier,1,3
11/2025,Requerimientos de seguridad. Informes de seguridad.,COMPETENCIAS TÉCNICAS,Personal de Inspección la Dirección de Inspección General.,13,Esequiel Ruiz / Ariel Oliva,Dirección de Inspección General,Presencial,SUM Héroes de Malvinas,1,2
5/2025,RCP y Desobstrucción de vías aéreas,SEGURIDAD E HIGIENE,"Abierto al personal de todas las áreas, priorizando a aquellos agentes que no tomaron el curso antes.",20,Leandro Cingolani / Eric Gustavo Rodríguez,Dirección de Recursos Humanos,Presencial,Cuartel bomberos,1,2
6/2025,Google Drive y Form - 1° edición,INFORMÁTICA,Personal administrativo o que requiera el conocimiento del uso del formulario de Google y las herramientas de GOOGLE DRIVE para sus tareas diarias.,12,Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,8,15
8/2025,Google Drive y Form - 2° edición,INFORMÁTICA,Personal administrativo o que requiera el conocimiento del uso del formulario de Google y las herramientas de GOOGLE DRIVE para sus tareas diarias.,14,Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,8,15
9/2025,Google Drive y Form - 3° edición,INFORMÁTICA,Personal administrativo o que requiera el conocimiento del uso del formulario de Google y las herramientas de GOOGLE DRIVE para sus tareas diarias.,16,Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,8,15
7/2025,Curso para Operarios de Motoniveladoras,COMPETENCIAS TÉCNICAS,Operarios y mecánicos,4,Andrés Saravia coordinador equipo de capacitación,Gobierno de Santa Fe,Presencial,SUM Héroes de Malvinas,8,15
9/2025,Excel Básico - Manejo de planillas y funciones básicas. (Incluye introducción a Windows)     TURNO MAÑANA,INFORMÁTICA,Agentes y funcionarios pertenecientes a dependencias de la Administración Pública Municipal que por sus funciones utilizan planillas de cálculo como un instrumento que facilita su tarea.,9,Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,16,30
9/2025,Excel Básico - Manejo de planillas y funciones básicas. (Incluye introducción a Windows)     TURNO TARDE,INFORMÁTICA,Agentes y funcionarios pertenecientes a dependencias de la Administración Pública Municipal que por sus funciones utilizan planillas de cálculo como un instrumento que facilita su tarea.,13,Jorge Egea,Dirección de Recursos Humanos,Presencial,Distrito E,16,30
10/2025,Excel Avanzado - Turno Mañana,INFORMÁTICA,Agentes y funcionarios pertenecientes a dependencias de la Administración Pública Municipal que posean conocimientos básicos del manejo de la herramienta.,15,Sandra Righini,Dirección de Recursos Humanos,Presencial,Distrito E,22,30
8/2026,Reválida Nacional para Entrenadores y Entrenadoras de Básquetbol,COMPETENCIAS TÉCNICAS,Entrenadores y Entrenadoras de Básquetbol de Dirección de Deportes,5,Confederación Argentina de Basquetbol,Confederación Argentina de Basquetbol,Virtual - Presencial (híbrido),Plataforma ANB,1,6
9/2025,Curso: Hogar y Obra,COMPETENCIAS TÉCNICAS,"Personal de mantenimiento de las diferentes áreas municipales: Obras Públicas, Servicios públicos, movilidad y mayordomía.",17,Andrés Bonelli de SINTEPLAST,Dirección de Recursos Humanos,Presencial,SUM Héroes de Malvinas / Sala Garnier,1,2
9/2025,Formación Integral: Herramientas para el abordaje de emergencias en espacios municipales,SEGURIDAD E HIGIENE,"Agentes y funcionarios pertenecientes a dependencias de la Secretaría de Territorialidad y Desarrollo Cultural (CCM, Sala Braier, Casa Museo Cayetano Silva, Casa Bicentenario, Casa de la Música).",25,Daniel Virelaude y Leandro Cingolani,Dirección de Recursos Humanos,Presencial,Distrito E,3,8
9/2025,Curso: Deporte adaptado y Discapacidad,COMPETENCIAS TÉCNICAS,Docentes y profesionales de la Dirección de Deportes vinculados al campo de la discapacidad: Silvio Lucero / Valeria Prinzi,2,NA,NA,Virtual,NA,5,10
11/2025,Uso de extintores portátiles y red de incendios,SEGURIDAD E HIGIENE,Personal de la Planta de Tratamiento,47,Leandro Cingolani,Dirección de Medioambiente,Presencial,Centro Educativo Planta de Tratamiento,1,2
12/2025,"RCP, Desobstrucción de vías aéreas y Uso de DEA",SEGURIDAD E HIGIENE,Personal de la Planta de Tratamiento,43,Leandro Cingolani,Dirección de Medioambiente,Presencial,Centro Educativo Planta de Tratamiento,1,3
12/2025,"RCP, Desobstrucción de vías aéreas y Uso de DEA (Primeros Auxilios)",SEGURIDAD E HIGIENE,Personal de Participación Ambiental,9,Leandro Cingolani,Participación Ambiental,Presencial,Centro Educativo Planta de Tratamiento,1,2
