presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2020-01-3,2014-11-13,37000900000,"2206,79",EDIFICIO                 
2020-01-3,2016-06-21,98002000000,"57,95",VIVIENDA                 
2020-01-3,2016-06-21,98000100000,"57,95",VIVIENDA                 
2020-01-3,2019-09-27, 01048A00400000  ,"184,74",VIVIENDA                 
2020-01-3,2019-11-13,11502600000,"66,68",VIVIENDA                 
2020-01-3,  /  /  , 00833C01300000  ,"133,17",VIVIENDA 1 Y 2           
2020-01-6,2018-12-21,74601500000,224,VIVIENDA                 
2020-01-7,2019-07-5,34002300000,"475,62",COCHERAS                 
2020-01-7,2019-11-1,61100900000,"210,88",VIVIENDA                 
2020-01-7,2019-11-4, 00931O00400000  ,42,CONS VIVIENDA            
2020-01-7,2019-12-4, 00145A02300000  ,"93,58",VIVIENDA                 
2020-01-7,2019-12-5,124600900000,"188,44",VIVIENDA                 
2020-01-8,2019-12-11,89303000000,"213,18",CONS. AMP VIVIENDA       
2020-01-9,2019-06-5,5402700000,"67,97",REG AMP VIVIENDA         
2020-01-9,2019-09-6,13901500000,"439,83",CONS VIVIENDA            
2020-01-9,2019-09-6,89401400000,"115,18",VIVIENDA                 
2020-01-9,2019-10-16,22801100000,"280,95",VIVIENDA 1 Y 2           
2020-01-9,2019-10-24, 01007B01100000  ,"86,43",REG AMP VIVIENDA         
2020-01-9,2019-12-2,24100500000,"93,77",VIVIENDA                 
2020-01-9,2019-12-3,121801200000,"171,47",LOCAL-DEPOSITO           
2020-01-9,  /  /  ,97802700000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97802800000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97802900000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803000000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803100000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803300000,"59,63",                         
2020-01-9,  /  /  ,97803400000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803500000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803600000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803700000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803800000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97803900000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97804000000,"59,63",VIVIENDA                 
2020-01-9,  /  /  ,97804100000,"59,63",VIVIENDA                 
2020-01-10,2019-08-23,58900100000,"170,62",REG VIVIENDA             
2020-01-10,2019-10-30,10801300000,"159,84",VIVIENDAS UNIFAMILIARES  
2020-01-10,2019-11-22,52700200000,"128,81",VIVIENDA                 
2020-01-13,2019-09-4,65102300000,"331,49",LOCAL COMERCIAL          
2020-01-13,2019-11-1, 00089B00500000  ,"171,04",CONS VIVIENDA            
2020-01-13,2019-11-20, 00962A00300000  ,"105,1",VIVIENDA 1 Y 2           
2020-01-14,2019-11-5,121401000000,"273,87",VIVIENDA                 
2020-01-14,2019-11-12,128002100000,"84,42",VIVIENDA                 
2020-01-14,2019-11-13,37801900000,"256,1",CONS DEPOSITO            
2020-01-14,  /  /  ,97803200000,"59,63",VIVIENDA                 
2020-01-15,2017-10-19, P0900801000000  ,"337,6",VIVIENDA                 
2020-01-16,2019-08-26,107602700000,"255,62",VIVIENDAS                
2020-01-16,2019-10-17,30202600000,"108,96",VIVIENDA                 
2020-01-16,2019-10-30,95101200000,"142,74",VIVIENDA                 
2020-01-16,2019-11-26, 00148H00800000  ,0,VIVIENDA 1 Y 2           
2020-01-16,2019-12-4, 00463A03100000  ,"419,93",VETERINARIA              
2020-01-16,2019-12-17,53400200000,"81,93",VIVIENDA                 
2020-01-16,2019-12-23,58702100000,"154,81",VIVIENDA                 
2020-01-17,2019-09-24,60301000000,"247,64",VIVIENDA                 
2020-01-17,2019-10-23,9803100000,"156,07",VIVIENDA                 
2020-01-17,2019-10-30, 00747B01400000  ,"205,5",                         
