ingreso,ingreso_scit,tipo
6/1/2025,11/12/2024,Restitucion Estado Parcelario (REP)     
6/1/2025,20/12/2024,Constitucion de Estado Parcelario       
8/1/2025,23/12/2024,Mensura y división  (Reg. prop. horiz.) 
14/1/2025,1/11/2024,Mensura y división                      
24/1/2025,13/11/2024,Constitucion de Estado Parcelario       
16/1/2025,27/6/2024,Constitucion de Estado Parcelario       
22/1/2025,22/7/2020,Restitucion Estado Parcelario (REP)     
22/1/2025,20/1/2025,Mensura y división                      
29/1/2025,27/12/2024,Mensura y división  (Reg. prop. horiz.) 
29/1/2025,12/12/2024,Modificacion de Estado Parcelario       
10/2/2025,22/8/2024,Unificacion                             
13/2/2025,4/12/2024,Restitucion Estado Parcelario (REP)     
13/2/2025,3/1/2025,Modificacion de Estado Parcelario       
14/2/2025,30/1/2025,Unificacion                             
6/3/2025,23/1/2025,Estado Preparatorio Usucapion Admin.    
7/3/2025,21/2/2025,Modificatoria de PH                     
5/3/2025,20/1/2025,Constitucion de Estado Parcelario       
13/3/2025,11/3/2024,Modificacion de Estado Parcelario       
14/3/2025,21/2/2022,Constitucion de Estado Parcelario       
25/2/2025,8/1/2025,Restitucion Estado Parcelario (REP)     
12/1/2025,21/2/2025,Modificacion de Estado Parcelario       
17/3/2025,23/1/2025,Mensura y división  (Reg. prop. horiz.) 
18/3/2025,5/3/2024,Estado Preparatorio Usucapion Admin.    
19/3/2025,7/3/2024,Modificacion de Estado Parcelario       
19/3/2025,10/3/2025,Estado Preparatorio Usucapion Admin.    
25/3/2025,4/2/2013,Mensura                                 
26/3/2025,4/2/2025,Mensura y división  (Reg. prop. horiz.) 
27/3/2025,3/10/2024,Modificacion de Estado Parcelario       
27/3/2025,26/3/2025,Constitucion de Estado Parcelario       
27/3/2025,26/2/2025,Estado Preparatorio Usucapion Judicial  
3/4/2025,18/3/2025,Estado Preparatorio Usucapion Admin.    
1/4/2025,25/3/2025,Estado Preparatorio Usucapion Judicial  
3/4/2025,21/2/2025,Constitucion de Estado Parcelario       
3/4/2025,18/10/2023,Modificacion de Estado Parcelario       
3/4/2025,14/3/2025,Constitucion de Estado Parcelario       
8/4/2025,20/3/2025,Mensura y división  (Reg. prop. horiz.) 
14/4/2025,4/4/2025,Modificacion de Estado Parcelario       
14/4/2025,28/3/2025,Estado Preparatorio Usucapion Judicial  
14/4/2025,8/4/2025,Constitucion de Estado Parcelario       
15/4/2025,10/3/2025,Modificacion de Estado Parcelario       
16/4/2025,7/4/2025,Modificacion de Estado Parcelario       
15/4/2025,28/3/2025,Modificacion de Estado Parcelario       
16/4/2025,12/12/2024,Modificacion de Estado Parcelario       
23/4/2025,4/4/2025,Mensura y división  (Reg. prop. horiz.) 
24/4/2025,1/4/2025,Modificacion de Estado Parcelario       
21/4/2025,16/4/2025,Constitucion de Estado Parcelario       
29/4/2025,25/4/2025,Constitucion de Estado Parcelario       
25/4/2025,26/3/2025,Restitucion Estado Parcelario (REP)     
5/5/2025,5/5/2025,Constitucion de Estado Parcelario       
8/4/2025,14/3/2025,Modificacion de Estado Parcelario       
5/5/2025,26/2/2025,Mensura y división  (Reg. prop. horiz.) 
3/5/2025,11/3/2025,Mensura y división  (Reg. prop. horiz.) 
5/5/2025,27/2/2025,Constitucion de Estado Parcelario       
9/5/2025,21/2/2025,Modificacion de Estado Parcelario       
12/5/2025,27/11/2024,Constitucion de Estado Parcelario       
14/5/2025,16/10/2024,Unificacion                             
4/4/2025,13/6/2024,Mensura y división  (Reg. prop. horiz.) 
19/5/2025,10/12/2010,Mensura                                 
15/5/2025,8/1/2025,Constitucion de Estado Parcelario       
19/5/2025,30/4/2025,Estado Preparatorio Usucapion Judicial  
19/5/2025,17/4/2023,Constitucion de Estado Parcelario       
21/5/2025,8/5/2025,Mensura y división  (Reg. prop. horiz.) 
21/5/2025,10/4/2025,Constitucion de Estado Parcelario       
26/5/2025,12/5/2025,Modificacion de Estado Parcelario       
26/5/2025,16/5/2025,Modificatoria de PH                     
27/5/2025,10/3/2025,Constitucion de Estado Parcelario       
15/5/2025,11/4/2025,Constitucion de Estado Parcelario       
28/5/2025,29/4/2025,Restitucion Estado Parcelario (REP)     
29/5/2025,27/11/2012,Mensura                                 
30/5/2025,26/2/2025,Constitucion de Estado Parcelario       
5/5/2025,19/1/2024,Constitucion de Estado Parcelario       
3/6/2025,23/5/2025,Mensura y división  (Reg. prop. horiz.) 
3/6/2025,19/5/2025,Modificacion de Estado Parcelario       
5/6/2025,17/4/2023,Constitucion de Estado Parcelario       
30/5/2025,12/12/2024,Modificacion de Estado Parcelario       
4/6/2025,14/5/2025,Constitucion de Estado Parcelario       
5/6/2025,28/5/2025,Mensura y división  (Reg. prop. horiz.) 
6/6/2025,31/1/2025,Constitucion de Estado Parcelario       
10/6/2025,30/5/2025,Modificacion de Estado Parcelario       
5/6/2025,13/12/2024,Mensura y división                      
13/6/2025,4/6/2025,Mensura y división  (Reg. prop. horiz.) 
17/6/2025,4/4/2025,Modificatoria de PH                     
18/6/2025,28/5/2025,Mensura y división                      
23/6/2025,19/8/2020,Constitucion de Estado Parcelario       
23/6/2025,15/2/2024,Constitucion de Estado Parcelario       
24/6/2025,6/5/2025,Estado Preparatorio Usucapion Judicial  
27/6/2025,14/5/2025,Mensura y división                      
27/6/2025,8/5/2025,Mensura y división  (Reg. prop. horiz.) 
7/7/2025,7/3/2025,Constitucion de Estado Parcelario       
7/7/2025,25/6/2025,Modificacion de Estado Parcelario       
15/7/2025,11/7/2025,Modificacion de Estado Parcelario       
14/7/2025,6/6/2025,Mensura y división  (Reg. prop. horiz.) 
14/7/2025,24/1/2025,Modificacion de Estado Parcelario       
18/7/2025,6/5/2025,Restitucion Estado Parcelario (REP)     
15/7/2025,13/6/2025,Modificacion de Estado Parcelario       
21/7/2025,11/7/2025,Constitucion de Estado Parcelario       
19/6/2025,12/6/2025,Constitucion de Estado Parcelario       
23/7/2025,11/7/2025,Adquisicion de dominio                  
22/7/2025,15/5/2025,Constitucion de Estado Parcelario       
24/7/2025,29/5/2025,Modificacion de Estado Parcelario       
25/7/2025,15/7/2025,Unificacion                             
25/7/2025,18/6/2025,Restitucion Estado Parcelario (REP)     
29/7/2025,11/7/2025,Constitucion de Estado Parcelario       
31/7/2025,4/7/2025,Verificacion Estado Parcelario (VEP)    
29/7/2025,12/6/2025,Mensura y división                      
31/7/2025,17/7/2025,Mensura y división  (Reg. prop. horiz.) 
6/8/2025,30/6/2025,Modificacion de Estado Parcelario       
8/8/2025,25/7/2025,Modificacion de Estado Parcelario       
28/7/2025,8/7/2025,Modificacion de Estado Parcelario       
14/8/2025,29/12/2021,Modificacion de Estado Parcelario       
22/8/2025,1/8/2025,Mensura y división  (Reg. prop. horiz.) 
13/8/2025,16/7/2025,Estado Preparatorio Usucapion Judicial  
26/8/2025,11/7/2025,Constitucion de Estado Parcelario       
26/8/2025,20/8/2025,Modificacion de Estado Parcelario       
26/8/2025,20/8/2025,Mensura y división  (Reg. prop. horiz.) 
26/8/2025,27/5/2025,Constitucion de Estado Parcelario       
28/8/2025,8/8/2025,Modificacion de Estado Parcelario       
25/8/2025,3/1/2022,Modificacion de Estado Parcelario       
27/8/2025,25/8/2025,Constitucion de Estado Parcelario       
29/8/2025,25/7/2025,Constitucion de Estado Parcelario       
2/9/2025,22/8/2025,Modificacion de Estado Parcelario       
3/9/2025,2/9/2025,Mensura y subdivisión                   
3/9/2025,20/8/2025,Restitucion Estado Parcelario (REP)     
3/9/2025,20/8/2025,Constitucion de Estado Parcelario       
5/9/2025,17/1/2023,Modificacion de Estado Parcelario       
