categoria,mes,valor_ars
8,2025-01,"327.449,93"
9,2025-01,"352.548,00"
10,2025-01,"365.633,43"
11,2025-01,"388.558,50"
12,2025-01,"408.203,55"
13,2025-01,"434.401,91"
14,2025-01,"467.146,80"
15,2025-01,"509.714,68"
16,2025-01,"588.302,54"
17,2025-01,"604.672,95"
18,2025-01,"637.417,87"
19,2025-01,"828.426,10"
20,2025-01,"858.988,07"
21,2025-01,"912.472,41"
22,2025-01,"950.670,36"
23,2025-01,"1.012.884,18"
24,2025-01,"1.058.731,19"
8,2025-02,"333.484,40"
9,2025-02,"359.045,00"
10,2025-02,"372.371,58"
11,2025-02,"395.719,13"
12,2025-02,"415.726,22"
13,2025-02,"442.407,37"
14,2025-02,"475.755,71"
15,2025-02,"519.108,06"
16,2025-02,"599.144,20"
17,2025-02,"615.816,29"
18,2025-02,"649.164,66"
19,2025-02,"843.692,93"
20,2025-02,"874.818,11"
21,2025-02,"929.288,10"
22,2025-02,"968.189,99"
23,2025-02,"1.031.550,33"
24,2025-02,"1.078.242,24"
8,2025-03,"333.484,40"
9,2025-03,"359.045,00"
10,2025-03,"372.371,58"
11,2025-03,"395.719,13"
12,2025-03,"415.726,22"
13,2025-03,"442.407,37"
14,2025-03,"475.755,71"
15,2025-03,"519.108,06"
16,2025-03,"599.144,20"
17,2025-03,"615.816,29"
18,2025-03,"649.164,66"
19,2025-03,"843.692,93"
20,2025-03,"874.818,11"
21,2025-03,"929.288,10"
22,2025-03,"968.189,99"
23,2025-03,"1.031.550,33"
24,2025-03,"1.078.242,24"
8,2025-04,"360.163,16"
9,2025-04,"387.768,60"
10,2025-04,"402.161,31"
11,2025-04,"427.376,66"
12,2025-04,"448.984,32"
13,2025-04,"477.799,96"
14,2025-04,"513.816,17"
15,2025-04,"560.636,71"
16,2025-04,"647.075,73"
17,2025-04,"665.081,59"
18,2025-04,"701.097,83"
19,2025-04,"911.188,36"
20,2025-04,"944.803,56"
21,2025-04,"1.003.631,15"
22,2025-04,"1.045.645,19"
23,2025-04,"1.114.074,36"
24,2025-04,"1.164.501,61"
8,2025-05,"360.163,16"
9,2025-05,"387.768,60"
10,2025-05,"402.161,31"
11,2025-05,"427.376,66"
12,2025-05,"448.984,32"
13,2025-05,"477.799,96"
14,2025-05,"513.816,17"
