fecha,actividad,tipo_receptor,nombre_receptor,ubicacion,barrio,cantidad_asistentes,rango_etario
02/01/2025,Capacitación,Empresa,P&L Pirelli,Blvd. 12 de octubre 985,Polo Viejo,13,Adultos
03/01/2025,Capacitación,Colonia,Colonia Luz y Fuerza,Eterovich y Los Andes,Victoria,21,Niños 0-9
03/01/2025,Aniversario de Reciclar Venado,Colonia,Colonia Luz y Fuerza,Eterovich y Los Andes,Victoria,23,Niños 10-14
03/01/2025,Capacitación,Institución social,Circulo Medico,Pellegrini 958,Centro 2,8,Adultos
08/01/2025,Capacitación,Colonia,Colonia Tiro federal,Blvd. Ovidio Lagos 798,Tiro Federal,27,Niños 0-9
08/01/2025,Capacitación,Colonia,Colonia Tiro federal,Blvd. Ovidio Lagos 798,Tiro Federal,22,Niños 10-14
09/01/2025,Capacitación,Colonia,Colonia Jockey,Castelli 657,Centro 1,21,Niños 0-9
09/01/2025,Capacitación,Colonia,Colonia Jockey,Castelli 657,Centro 1,25,Niños 10-14
09/01/2025,Capacitación,Colonia,Colonia Soiva,Quinta Soiva,El Cruce,22,Niños 0-9
09/01/2025,Capacitación,Colonia,Colonia Soiva,Quinta Soiva,El Cruce,23,Niños 10-14
10/01/2025,Capacitación,Colonia,Colonia Camioneros,Newbery 3222,NO EXISTE,24,Niños 0-9
10/01/2025,Capacitación,Colonia,Colonia Camioneros,Newbery 3222,NO EXISTE,23,Niños 10-14
10/01/2025,Canje ecotachos,Voluntarios,Parque Municipal,Parque Municipal,Centro 1,123,Público General
11/01/2025,Actividad Recreativa,Voluntarios,Venite Al Parquee,Parque Municipal,Centro 1,,Público General
13/01/2025,Capacitación,Colonia,Colonia Parque,Parque Municipal,Centro 1,17,Niños 0-9
14/01/2025,Capacitación,Empresa,Stine,RN8 km 357,Km357,18,Adultos
14/01/2025,Capacitación,Colonia,Colonia Parque,Parque Municipal,Centro 1,21,Niños 10-14
16/01/2025,Capacitación,Empresa,Corven,Marcos Ciani 2118,Juan XXIII,32,Adultos
17/01/2025,Capacitación,Empresa,Conforma SRL,Ismael Iraola 1270,Parque Industrial,21,Adultos
20/01/2025,Capacitación,Colonia,Colonia Ciudad,Lussenhoff y Ruta 8,Villa Casey,22,Niños 0-9
20/01/2025,Capacitación,Colonia,Colonia Ciudad,Lussenhoff y Ruta 8,Villa Casey,19,Jóvenes 15-18
