id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
9,TITULAR,INDIVIDUAL - GENERAL,33,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
27,SUPLENTE,INDIVIDUAL - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
35,SUPLENTE,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
50,TITULAR,FAMILIAR - GENERAL,39,FEMENINO,PROPIEDAD ALQUILADA,2,0,2
89,SUPLENTE,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,0,2
101,TITULAR,INDIVIDUAL - GENERAL,44,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
109,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,35,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
114,SUPLENTE,INDIVIDUAL - GENERAL,33,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
127,SUPLENTE,FAMILIAR - GENERAL,24,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
163,SUPLENTE,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
205,TITULAR,INDIVIDUAL - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
230,SUPLENTE,FAMILIAR - GENERAL,33,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
307,TITULAR,FAMILIAR - GENERAL,29,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
323,SUPLENTE,FAMILIAR - GENERAL,29,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
358,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,22,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
371,TITULAR,FAMILIAR - GENERAL,28,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
404,TITULAR,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
433,TITULAR,INDIVIDUAL - GENERAL,28,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
483,SUPLENTE,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
484,SUPLENTE,INDIVIDUAL - GENERAL,29,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
485,SUPLENTE,FAMILIAR - GENERAL,43,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
486,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,38,FEMENINO,PROPIEDAD ALQUILADA,5,3,2
487,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
489,SUPLENTE,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
580,SUPLENTE,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
674,SUPLENTE,FAMILIAR - GENERAL,44,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
680,SUPLENTE,FAMILIAR - GENERAL,25,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
744,SUPLENTE,FAMILIAR - GENERAL,40,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
