Función,Secretaría,Subsecretaría,Dirección,Coordinación,Funcionario,Género,Ordenanza,Ordenanza link,Decreto,Decreto link
Secretario/a,Control Urbano y Convivencia,-,-,-,"Rocha, Silvia",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 362/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Control Urbano y Convivencia,-,Inspección General y Convivencia,-,"Ruiz, Esequiel",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 327/24,https://venadotuerto.gob.ar/wp-content/uploads/2025/02/BO-Diciembre2024.pdf
Director/a,Control Urbano y Convivencia,-,Control Urbano,-,"Salina, Fernando",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 373/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Control Urbano y Convivencia,-,Seguridad Alimentaria,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Control Urbano y Convivencia,-,Protección Civil,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Secretario/a,Coordinación de Gabinete,-,-,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Subsecretario/a,Coordinación de Gabinete,Comunicación,-,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Director/a,Coordinación de Gabinete,Comunicación,Comunicación,-,"Vercelli, Camila",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 376/23,
Subsecretario/a,Coordinación de Gabinete,Gestión Participativa,-,-,"Acosta, Ana Inés",Femenino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 365/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
Director/a,Coordinación de Gestión,Gestión Participativa,Coordinación de Gestión,-,-,-,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,-,-
Coordinador/a,Coordinación de Gestión,Gestión Participativa,-,Participación Ambiental,"Urreta, Sebastián",Masculino,Nº 5745/23,https://www.concejovenadotuerto.gov.ar/ordenanza?titulo=ORDENANZA%20N%C2%BA%205745%2F23%20-%20Organigrama%20Municipal&id=5597,Nº 407/23,https://venadotuerto.gob.ar/wp-content/uploads/2024/03/BODiciembre.pdf
