escuela_institución,año,cantidad_alumnos,fecha,turno
Primaria 1198,5A,22,31/03/2025,Mañana
Primaria 1198,5B,22,03/04/2025,Mañana
Taller de Nazareth - Sec,2A,32,21/04/2025,Mañana
Primaria 969,2A,20,21/04/2025,Tarde
Primaria 969,2B,22,28/04/2025,Mañana
EESO N°447 Sec,4B,20,08/05/2025,Tarde
Escuelas de los Padres (primaria),3C,26,12/05/2025,Mañana
Dante Alighieri,3A,33,12/05/2025,Mañana
Primaria 1248,5A,20,12/05/2025,Tarde
Taller de Nazareth - Sec,2B,33,15/05/2025,Mañana
Primaria 100 años,7B,19,19/05/2025,Mañana
Primaria 1248,5B,20,19/05/2025,Tarde
EESO N° 584 Sec,4C,22,21/05/2025,Mañana
Primaria 1189,4C,20,21/05/2025,Tarde
Primaria 789,3A,20,21/05/2025,Tarde
Primaria 100 años,7C,17,26/05/2025,Mañana
Dante Alighieri prim,3B,29,26/05/2025,Tarde
Primaria 1248,5C,19,26/05/2025,Tarde
Escuela Bilingüe Montessori,"6, 7 Y 1",30,29/05/2025,Mañana
EESO N° 584 Sec,4B y 5B,20,29/05/2025,Tarde
Sagrado Corazón Sec,1A,33,02/06/2025,Mañana
Primaria 1198,5C,22,02/06/2025,Mañana
Natalio Perillo,6B,24,02/06/2025,Mañana
Sagrado Corazón Sec,1B,35,05/06/2025,Mañana
Primaria 498,4D,21,05/06/2025,Tarde
EESO N°447 Sec,4B,20,09/06/2025,Mañana
Natalio Perillo,7B,23,09/06/2025,Tarde
Primaria 498,4A,23,12/06/2025,Mañana
Primaria 969,2C,20,12/06/2025,Tarde
Primaria 100 años,7A,18,19/06/2025,Mañana
EESO N° 584 Sec,4A,19,23/06/2025,Mañana
Primaria 968,5A y 5B,35,23/06/2025,Tarde
Primaria 497,7A,23,26/06/2025,Mañana
Primaria 498,4B,21,26/06/2025,Mañana
Primaria 498,6C,19,26/06/2025,Tarde
Primaria 497,7B,23,30/06/2025,Mañana
Primaria 498,6D,21,30/06/2025,Tarde
EESO º447 Sec,4C,14,30/06/2025,Tarde
Primaria 497,7C,23,03/07/2025,Mañana
Esc sec 602,,12,03/07/2025,Tarde
Primaria 1189,4B,21,03/07/2025,Tarde
Taller de Nazareth - Prim,6A,30,21/07/2025,Mañana
Taller de Nazareth - Prim,6B,26,24/07/2025,Mañana
E.E.S.O. Nro. 446 Sec,4B y 5B,20,24/07/2025,Tarde
Sagrado Corazón Sec,5 Naturales,26,,Mañana
Taller de Nazareth - Prim,3A,27,31/07/2025,Mañana
Taller de Nazareth - Prim,3B,27,31/07/2025,Tarde
Escuela de los Padres - Sec,2B,24,04/08/2025,Mañana
E.E.S.O. Nro. 447 Sec,5,25,04/08/2025,Mañana
Sagrado Corazón,1C,34,07/08/2025,Mañana
Primaria 582,7A,33,07/08/2025,Mañana
Natalio Perillo,5B,23,07/08/2025,Tarde
Primaria 1189,7B,20,11/08/2025,Mañana
Primaria 1248,4C,25,11/08/2025,Tarde
Esc. Prim. N°1248,4A,20,12/08/2025,Tarde
Esc. N°402,6,21,14/08/2025,Mañana
Primaria 1198,4A,16,14/08/2025,Mañana
José Vicente Cibelli N° 1325,3A,22,14/08/2025,Tarde
Dante Alighieri Sec,Proyecto,23,25/08/2025,Mañana
Sagrado Corazón Prim,3C,21,25/08/2025,Tarde
Primaria 1198,4B,17,28/08/2025,Mañana
Escuela 1189,5C,22,28/08/2025,Tarde
El Ceibo,,20,04/09/2025,Mañana
Escuela 1189,4A,21,04/09/2025,Mañana
Sagrado Corazón - Prim,3D,21,04/09/2025,Tarde
Emprendedores,,38,06/09/2025,Mañana
Primaria 100 años,4A,22,08/09/2025,Mañana
Primaria 100 años,4B,24,08/09/2025,Mañana
José Vicente Cibelli Nº 1325,3B,22,08/09/2025,Tarde
Taller Municipal,,33,11/09/2025,Tarde
Esc. de Educ. Manual Nº 3.062,1A,23,16/09/2025,Tarde
Esc. Prim N°497,6B,19,18/09/2025,Mañana
Esc. Prim. N°1248,4B,25,18/09/2025,Tarde
Esc. Prim N°497,4A,19,22/09/2025,Mañana
Mariano Moreno n°496,3A y 3B,32,22/09/2025,Tarde
Esc. Prim N°969,7A,17,25/09/2025,Mañana
Bomberos voluntarios N °1191,3A,15,25/09/2025,Tarde
Prim 969,7B,18,29/09/2025,Mañana
Esc. Prim. N°498,4C,22,29/09/2025,Tarde
"EETP n°483 ""El Industrial""",5A,19,1/10/2025,Mañana
Escuela 1189,4A,21,1/10/2025,Mañana
Prim 969,7C,18,2/10/2025,Mañana
Bomberos Voluntarios,1A y 2A,30,2/10/2025,Tarde
Profesorado de Arte,,8,6/10/2025,Tarde
RIZOMA,,38,8/10/2025,Mañana
Hogar Familia,,12,9/10/2025,Tarde
Santa Rosa,5A,34,16/10/2025,Mañana
CULTURA INGLESA,2A sec,30,16/10/2025,Mañana
Santa Rosa,5B,34,20/10/2025,Mañana
CULTURA INGLESA,2B sec,28,20/10/2025,Mañana
Cultura Inglesa Primaria 1329,3A,27,20/10/2025,Tarde
Esc. N°602,2B,25,23/10/2025,Mañana
Esc. N°602,2C,23,23/10/2025,Tarde
Esc. Prim N°497,5A,18,27/10/2025,Mañana
De Los Cien Años,4C,23,27/10/2025,Mañana
CULTURA INGLESA PRIMARIA 1329,3B,24,27/10/2025,Tarde
Esc. Prim Nº497,5C,21,30/10/2025,Mañana
9 de Julio n°582,3A,16,30/10/2025,Tarde
Esc. Prim 497,6A y 6C,37,3/11/2025,Mañana
9 de Julio n°582,1B y 3B,26,3/11/2025,Tarde
EPI 1085 SAGRADO CORAZÓN,3A,28,6/11/2025,Mañana
EPI 1085 SAGRADO CORAZÓN,3B,26,13/11/2025,Mañana
EPA N°3,4A y 5A,36,13/11/2025,Mañana
Escuela N° 497 Cayetano Silva,4B,18,13/11/2025,Tarde
N°496 Mariano Moreno,3C y 3D,43,25/11/2025,Mañana
ADIF,,23,25/11/2025,Mañana
Cayetano silva 497,4C,17,25/11/2025,Tarde
CAR,4A,21,28/05/2025,Mañana
CAR,4B,27,04/06/2025,Mañana
CAR,4C,21,11/06/2025,Mañana
Dante Terciario,,,11/06/2025,Mañana
Escuela Salesiana,5,21,18/06/2025,Mañana
Amancay,,14,17/07/2025,Tarde
CAR,5,,23/07/2025,Mañana
Balcarce,,20,30/07/2025,Tarde
Cavanagh,2A  y 2B,19,30/07/2025,Mañana
