año,tipo_obra,calle,altura,barrio
2025,Pavimento,LIBERTAD,900,Ciudad Nueva
2025,Pavimento,LIBERTAD,800,Ciudad Nueva
2025,Pavimento,LIBERTAD,700,Ciudad Nueva
2025,Pavimento,LIBERTAD,600,Ciudad Nueva
2025,Pavimento,JUNIN,2200,San José Obrero
2025,Pavimento,JUNIN,2250,San José Obrero
2025,Cordón cuneta,RODRIGUEZ PEÑA (EX CALLE IX 33),450,Cayetano Silva
2025,Pavimento,"MAXWELL, PADRE JOSE T. (EX CALLE 17)",700,Malvinas Argentinas
2025,Pavimento,BELGRANO,2600,Malvinas Argentinas
2025,Pavimento,LEONCIO DE LA BARRERA,900,San José Obrero
2025,Pavimento,JUNIN,2300,San José Obrero
2025,Pavimento,RUNCIMAN,700,Iturbide
2025,Pavimento,JUNIN,2400,San Vicente
2025,Pavimento,"TURNER, SANTIAGO",400,Iturbide
2025,Pavimento,SAN JUAN,300,Cayetano Silva
2025,Pavimento,"AUFRANC, JOSE (EX CALLE 13)",1200,San Vicente
2025,Pavimento,LEONCIO DE LA BARRERA,1300,San José Obrero
2025,Pavimento,SAN LUIS,200,Cayetano Silva
2025,Pavimento,ESPAÑA,2900,Malvinas Argentinas
2025,Pavimento,"PERILLO, NATALIO (EX CALLE 18)",750,Ciudad Nueva
2025,Pavimento,"MARTI, JOSE (EX CALLE 16)",300,Güemes
2025,Pavimento,"MANZANO, MANUEL (EX CALLE 23)",300,Malvinas Argentinas
2025,Cordón cuneta,EDISON,1550,San José Obrero
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",200,Güemes
2025,Pavimento,NEUQUEN,300,Cayetano Silva
2025,Pavimento,"ITURBIDE, PEDRO",100,Iturbide
2025,Pavimento,"GARBARINO, CARLOS (EX CALLE 106)",1300,Rivadavia
2025,Pavimento,26 (VEINTISEIS) DE ABRIL,1200,Rivadavia
2025,Pavimento,EDISON,1800,San José Obrero
2025,Pavimento,MAIPU,2300,Rivadavia
2025,Pavimento,CHILE,1400,Tiro Federal
2025,Pavimento,CHILE,1500,Tiro Federal
2025,Pavimento,VIEYTES,1800,Rivadavia
2025,Pavimento,VIEYTES,1900,Rivadavia
2025,Pavimento,"ALBERDI, JUAN BAUTISTA",1900,Rivadavia
2025,Pavimento,"ALBERDI, JUAN BAUTISTA",1800,Rivadavia
2025,Pavimento,MADRE TERESA DE CALCUTA (EX CALLE 104),100,Rivadavia
2025,Pavimento,MORENO,2250,San José Obrero
2025,Pavimento,RIO DE LA PLATA,300,Cayetano Silva
2025,Pavimento,OBISPO ROSSI (EX CALLE 106),1,Rivadavia
2025,Pavimento,CALLE PÚBLICA,500,Cayetano Silva
2025,Pavimento,CORRIENTES,100,San Cayetano
2025,Pavimento,CALLE 61 (CONT SAENZ PEÑA) (BALBÍN),800,Cayetano Silva
2025,Pavimento,"AMINCTON, HARRY LUCAS (EX CALLE 20)",400,Ciudad Nueva
2025,Pavimento,GOBERNADOR CANDIOTI,1100,Santa Fe
2025,Pavimento,GOBERNADOR CANDIOTI,1200,Santa Fe
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",300,Güemes
2025,Pavimento,RODRIGUEZ PEÑA (EX CALLE IX 33),500,Cayetano Silva
2025,Pavimento,RODRIGUEZ PEÑA (EX CALLE IX 33),600,Cayetano Silva
2025,Pavimento,"CAMARERO, INGENIERO (EX CALLE 125 Y CALLE 47 BARRIO CIUDAD NUEVA)",1000,Ciudad Nueva
2025,Pavimento,"CAMARERO, INGENIERO (EX CALLE 125 Y CALLE 47 BARRIO CIUDAD NUEVA)",1100,Ciudad Nueva
2025,Pavimento,"CAMARERO, INGENIERO (EX CALLE 125 Y CALLE 47 BARRIO CIUDAD NUEVA)",1200,Ciudad Nueva
2025,Pavimento,ALMAFUERTE,2600,Malvinas Argentinas
2025,Pavimento,"BASUALDO, NORA WADE DE",400,Norte
2025,Pavimento,FRANCIA,2300,San José Obrero
2025,Pavimento,"PERILLO, NATALIO (EX CALLE 18)",,
2025,Pavimento,"PERILLO, NATALIO (EX CALLE 18)",,
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",1000,Ciudad Nueva
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",1100,Ciudad Nueva
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",1200,Ciudad Nueva
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",1300,Ciudad Nueva
2025,Pavimento,"GIACAGLIA, ULISES (EX CALLE 22)",970,Ciudad Nueva
2025,Pavimento,"BRETT, SANTIAGO",200,Iturbide
2025,Pavimento,SAN LORENZO,900,Iturbide
2025,Pavimento,"DIMMER, GUILLERMO (EX CALLE 11) (PAR)",1400,San José Obrero
2025,Pavimento,"BRETT, SANTIAGO",200,Iturbide
2025,Pavimento,SAN LORENZO,900,Iturbide
2025,Pavimento,"DIMMER, GUILLERMO (EX CALLE 11) (PAR)",1400,San José Obrero
2025,Pavimento,VELEZ SARSFIELD,1700,San José Obrero
