nivel,institucion,tipo_gestión,calle,altura,barrio,telefono
Primario,"ESCUELA NRO 1189 ""CARLOS JAVIER BENIELLI""",Pública,Esperanto,301,Pcias Unidas,3462423814
Primario,"ESCUELA NRO 1191 ""BOMBEROS VOLUNTARIOS""",Pública,26 de abril,1645,,3462420513
Primario,"C.E.R. NRO 291 ""MANUEL BELGRANO""",Pública,Campo El Empalme,,,3462482002
Primario,"C.E.R. NRO 81 ""MARIANO MORENO""",Pública,Paraje La Escondida,,,3462421427
Primario,"ESCUELA NRO 833 ""COMODORO RIVADAVIA""",Pública,Paraje San Marcos,,,3468564995
Primario,"ESCUELA NRO 496 ""MARIANO MORENO""",Pública,Av. Casey,341,,3462421546
Primario,"ESCUELA NRO 497 ""CAYETANO ALBERTO SILVA""",Pública,Pellegrini,71,Centro 1,3462421330
Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Pública,Saavedra,555,Centro 1,3462423318
Primario,"ESCUELA PART. INC. NRO 1023 ""SANTA ROSA""",Privada,Belgrano,871,Centro 1,3462421335
Primario,"ESCUELA PART. INC. NRO 1329 ""CULTURA INGLESA""",Privada,Av. Marconi,631,,3462422050
Primario,"ESCUELA NRO 1248 ""ROSA TOURNER DE ESTRUGAMOU""",Pública,Av. Estrugamou,1250,,3462421514
Primario,"ESCUELA NRO 582 ""9 DE JULIO""",Pública,Pellegrini,1485,Centro 2,3462421427
Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Pública,Francia,1315,Centro 2,3462420524
Primario,"ESCUELA PART. INC. NRO 1085 ""SAGRADO CORAZON""",Privada,Av. Yrigoyen,1441,,3462421174
Primario,"ESCUELA PART. INC. NRO 1325 ""TALLER DE NAZARETH""",Privada,Mitre,1056,Centro 2,3462421122
Primario,"ESCUELA PART. AUT. 1398 ""ESCUELA DE LOS PADRES""",Privada,Sarmiento,155,Centro 3,3462424534
Primario,"ESCUELA NRO 1262 ""MALVINAS ARGENTINAS""",Pública,Amincton,701,,3462420527
Primario,"ESCUELA PART. INC. NRO 1280 ""DANTE ALIGHIERI""",Privada,Chaco,951,Ciudad Nueva,3462421096
Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Pública,Uruguay,441,Gral San Martín,3462421305
Primario,"ESCUELA NRO 1198 ""GENERAL JOSE DE SAN MARTIN""",Pública,Salvadores,109,,3462420526
Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Pública,Turner,288,,3462408865
Primario,"ESCUELA NRO 1201 ""F. ANTONIO RIZZUTO""",Pública,Maxwell,580,,3462420512
Primario,"ESCUELA NRO 969 ""JOAQUIN VICTOR GONZALEZ""",Pública,Brown,367,,3462422080
Primario,"ESCUELA NRO 1364 ""NATALIO DEL CARMEN PERILLO""",Pública,Alvear,2037,Rivadavia,3462437054
Primario,"ESCUELA NRO 1295 ""DE LOS CIEN AÑOS""",Pública,Azcuénaga,2310,San José Obrero,3462426460
Primario,"ESCUELA NRO 789 ""ALMAFUERTE""",Pública,Ruta N° 33 ,km 699,,3462420350
Primario,MONTESSORI VENADO TUERTO,Privada,Calle Pedro D miles,217,,3462316743
Primario,"ESCUELA NRO 6404 ""GENERAL MARTIN M. DE GUEMES""",Pública,Av. Pres. Juan Domingo Perón,1305,,3462422084
Primario,"ESCUELA NRO 6391 ""ANTARTIDA ARGENTINA""",Pública,Bonansea,1390,,3462638202
Primario,ESCUELA PRIMARIA AGROECOLOGICA NRO 1418,Privada,Ruta N° 33 ,km 637,,3462420543
Primario,"ESCUELA NRO 1526 ""NUEVA VIDA""",Privada,Borgarino ,539,,3462230029
Primario,"ESCUELA NRO 2519 Funciona en la escuela ""DE LOS CIEN AÑOS"" (nocturna)",Pública,Azcuénaga,2310,San José Obrero,3462426460
