nivel,institucion,tipo_gestion,calle,altura,barrio,telefono,otros_telefonos,email
SECUNDARIO,"E.E.T.P. N° 402 ""Manuel Belgrano""",Pública,Chacabuco,2010,Rivadavia,3462408860,435171/15554664,sec402_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.T.P. N° 483 ""El Industrial""",Pública,España,450,Centro 1,3462421682,3462618428,sec483_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.T.P. N° 602 ""General San Martín""",Pública,San Martín,2260,Norte,3462421827,421827/15566837,sec602_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.T.P. Part. Inc. N° 8183 ""Centro Agrotécnico Regional""",Privada,RUTA NRO 33 KM 637,,,3462420543,,sec8183_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. N° 206 ""Rosa T. de Estrugamou""",Pública,"Estrugamou, Avenida Alejandro (Par)",1250,Centro 2,3462421514,421514/15565666,sec206_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. N° 238 ""Doctor Rircardo Torres Blanco""",Pública,Pellegrini,1485,Centro 2,,15562825,sec238_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. N° 446 ""Juan Bautista Alberdi""",Pública,"Além, Avenida",122,Centro 3,3462421935,15503314/15569728,sec446_venadotuerto@santafe.edu.ar; eeso446jbalberdi@gmail.com
SECUNDARIO,"E.E.S.O. N° 447 ""Manuel Vicente Manzano""",Pública,Formosa,527,Ciudad Nueva,,426719/15410211,sec447_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. N° 584 ""Dr. Raúl Ricardo Alfonsín""",Pública,"Além, Avenida",1315,Iturbide,3462421629,421629/3462610165,sec584_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. Part. Aut. N° 3082 ""Escuela de los Padres""",Privada,"Alberdi, Juan Bautista",419,Centro 3,3462420841,,nivelmedio@epadres.com.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 2055 ""Alejandro F. Estrugamou""",Privada,,,,3462433220,,sec2055_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 2065 ""Taller de Nazareth""",Privada,Mitre,1053,Centro 2,3462424021,,sec2065_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 3081 ""Dante Alighieri""",Privada,Chaco,951,Ciudad Nueva,3462421096,,escueladantea@outlook.com.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 3095 ""Cultura Inglesa""",Privada,Marconi,631,Centro 1,3462422050,,sec3095_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 8019 ""Sagrado Corazón}""",Privada,"Yrigoyen, Avda. Hipólito",1441,Centro 2,3462421174,,sec8019_venadotuerto@santafe.edu.ar
SECUNDARIO,"E.E.S.O. Part. Inc. N° 8032 ""Santa Rosa""",Privada,Belgrano,871,Centro 1,3462421335,,"sec8032_venadotuerto@santafe.edu.ar, direccionisr@gmail.com"
SECUNDARIO,Escuela Provincial de Arte N° 3,Pública,Pueyrredón,1800,Centro 2,3462437977,3462664335,secart3_venadotuerto@santafe.edu.ar
