institucion,nivel,tipo_gestion,calle_sede,altura_sede,telefono_sede,nombre_carrera,titulo_intermedio,nombre_titulo_intermedio,extension_años,modalidad,area_de_interes,subcategoria,pasantias,inicio_carrera,mail,pagina_web,instagram,facebook
EPA N° 3 (Escuela Provincial de Arte),Terciario,Pública,12 de Octubre,1105,3462545206,PROFESORADO DE TEATRO,,,4,Presencial,Ciencias sociales y humanas,Educación,,,epanro3venado@gmail.com,,escueladearte.3,Escuela Provincial de Arte N°3
EPA N° 3 (Escuela Provincial de Arte),Terciario,Pública,12 de Octubre,1105,3462545206,PROFESORADO DE ARTES AUDIOVISUALES,,,4,Presencial,Ciencias sociales y humanas,Educación,,1/4/2014,epanro3venado@gmail.com,,escueladearte.3,
Escuela Superior de Enfermería V.T.,Terciario,Pública,Francia,1315,3462420524,TECNICATURA SUPERIOR EN ENFERMERÍA,,,3,Presencial,Ciencias biológicas y de la salud,Salud,,2006,escuelasuperiordeenfermeriavt@hotmail.com,,,Escuela Superior de Enfermería Venado Tuerto
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,COORDINADOR Y TÉCNICO EN TURISMO,,,3,Presencial,Ciencias sociales y humanas,Administración y organización,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Sperior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,TÉCNICO SUPERIOR EN COMERCIALIZACIÓN,,,3,Presencial,Ciencias sociales y humanas,Administración y organización,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO DE EDUCACIÓN SECUNDARIA EN HISTORIA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO DE EDUCACIÓN FÍSICA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO DE EDUCACIÓN INICIAL,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO DE EDUCACIÓN SECUNDARIA EN LENGUA Y LITERATURA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO DE EDUCACIÓN SECUNDARIA EN MATEMÁTICA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,PROFESORADO EN ENSEÑANZA PRIMARIA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,TECNICATURA SUPERIOR EN TRABAJO SOCIAL,,,4,Presencial,Ciencias sociales y humanas,Social,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,TECNICATURA SUPERIOR EN ENFERMERÍA,,,3,Presencial,Ciencias biológicas y de la salud,Salud,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,TECNICATURA SUPERIOR EN DISEÑO GRÁFICO,,,3,Presencial,"Ciencias exactas, tecnológicas y diseño",Proyectual: arquitectura y diseño,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"ICES (Inst. Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior"")",Terciario,Privada,Mitre,1053,3462424021,TECNICATURA SUPERIOR DESARROLLO DE SOFTWARE,,,3,Presencial,"Ciencias exactas, tecnológicas y diseño",Tecnología,,,secretaria@instituto-ices.edu.ar,www.instituto-ices.edu.ar,ices.vt,Instituto Superior Particular Incorporado 9145 ICES
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE ARTES VISUALES CON ORIENTACIÓN EN PRODUCCIÓN,No,,4,Presencial,Ciencias sociales y humanas,Educación,,2004,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior N°7
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE EDUCACIÓN INICIAL,No,,4,Presencial,Ciencias sociales y humanas,Educación,,1973,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior n°7
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE EDUCACIÓN SECUNDARIA EN BIOLOGÍA,No,,4,Presencial,Ciencias sociales y humanas,Educación,,1973,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior N°7
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE EDUCACIÓN PRIMARIA,No,,4,Presencial,Ciencias sociales y humanas,Educación,,1974,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior N°7
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE EDUCACIÓN SECUNDARIA EN GEOGRAFÍA,No,,4,Presencial,Ciencias sociales y humanas,Educación,,1965,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior N°7
SIGLO 21 (Universidad Siglo 21),Universitario,Privada,Maipú,1102,3462531039,ABOGACÍA,Sí,PROCURADOR,5,Virtual,Ciencias sociales y humanas,Jurídicas,,,malena.galante@cau.ues21.edu.ar,www.inscribite.21.edu.ar/cau-venado-tuerto,siglo21.fundoc,
"IES Nro. 7 (Inst. de Ed. Sup. Nro. 7 ""Brigadier E. López"")",Terciario,Pública,"Estrugamou, Avenida Alejandro (Par)",250,3462421514,PROFESORADO DE INGLÉS PARA EDUCACIÓN INICIAL Y EDUCACIÓN PRIMARIA,,,4,Presencial,Ciencias sociales y humanas,Educación,,,alumnadoies7@gmail.com,www.ies7venadotuerto.edu.ar,inst.prof.7,Instituto de Educación Superior N° 7
SIGLO 21 (Universidad Siglo 21),Universitario,Privada,Maipú,1102,3462531039,ACTUARIO,,,4,Virtual,Ciencias sociales y humanas,Administración y organización,,,,www.inscribite.21.edu.ar/cau-venado-tuerto,siglo21.fundoc,
