nivel,institucion,tipo_gestion,calle,altura,barrio,telefono,email
Inicial,Jardín Nº 8 - Nucleado I,Pública,2 de Abril,460,San Martín,3462594501,emalacunza3@gmail.com
Inicial,Jardín Nº 8 -  Esc. Nº 6404,Pública,Juan D. Perón,1306,Victoria,3462538331,
Inicial,"Jardín Nº 110 ""Esmeralda del sur"" Sede",Pública,Azcuénaga ,2406,San Vicente,3462228700,jardin110_venadotuerto@santafe.edu.ar
Inicial,Jardín Nº 110 - Esc. Nº 6391,Pública,Av. L. de la Torre y A. Cobeñas,,Villa Casey,3462228700,jardin110_venadotuerto@santafe.edu.ar
Inicial,Jardín Nº 110 - Esc. Nº 1201,Pública,Maxwell y Castelli,,Malvinas Argentinas,3462228700,jardin110_venadotuerto@santafe.edu.ar
Inicial,Jardín N° 138 - Nucleado I,Pública,Iturraspe,1385,Centro II,3462642186,
Inicial,Jardín Nº138 - Esc. Nº 497,Pública,Pellegrini,71,Centro I,3462642186,
Inicial,Jardín N° 138 - Esc. N° 540,Pública,Saavedra,555,Centro I,3462642186,
Inicial,Jardín N° 138 - Esc. N° 582,Pública,Pellegrini,1400,Centro II,3462642186,
Inicial,Jardín N° 206 - Sede,Pública,Barberis,806,Ciudad Nueva,3462408864/3462331411,jardin206_venadotuerto@santafe.edu.ar
Inicial,Jardín N° 206 - Esc. N° 1189,Pública,Esperanto,301,Güemes,3462386521,jardin206_venadotuerto@santafe.edu.ar
Inicial,Jardín N° 353 - Sede ,Pública,Urquiza,953,Belgrano,3462469298,
Inicial,Jardín N° 353 - Ámbito I,Pública,Sarmiento,275,Centro III,3462469298,
Inicial,Jardín N° 353 - Ámbito II. Esc. N° 1325,Pública,Falucho y Brett,,Iturbide,3462469298,
Inicial,Jardín N° 319 - Ex Normal,Pública,Moreno,1219,Centro II,3462620037,
Inicial,Jardín N° 1275 - Sagrado Corazón,Privada,Lisandro de la Torre,1042,Centro II,3462600795,sec1275@sagradocorazonvt.edu.ar
Inicial,Jardín Nueva Vida,Privada,Mons. Borgarino,539,Villa Casey,3462416523,
Inicial,Jardín N° 1398 - Escuela de los Padres,Privada,Sarmiento,198,Centro III,3462372711,secretaria@epadres.com.ar
Inicial,Jardín N° 1311 - Cultura Inglesa,Privada,Av Marconi,631,Centro I,3462388465,niculturainglesa@gmail.com
Inicial,Jardín Centro Agrotécnico Regional,Privada,Ruta 33 ,km 637,,-,agroecologica1418@gmail.com
Inicial,Jardín N° 1323 - Dante Alighieri ,Privada,Mitre,766,Centro I,3462566546,jardindante1323@gmail.com
Inicial,Jardín N° 1300 - Santa Rosa,Privada,Av Marconi,748,Centro I,3462598176,inicial@santarosavt.com.ar
Inicial,Jardín N° 1325 - Taller de Nazareth,Privada,Mitre,1053,Centro II,3462666694,tallernazareth.1325@gmail.com
Inicial,Burbujitas ,Municipal,Leoncio de la Barrera,298,Norte,3462522865,jardinesmaternoinfantiles@gmail.com
Inicial,Chispitas ,Municipal,Balcarce,4135,Santa Rosa,3462521468,jardinesmaternoinfantiles@gmail.com
Inicial,Huellitas ,Municipal,Vuelta de Obligado,298,Iturbide,3462527173,jardinesmaternoinfantiles@gmail.com
Inicial,Manasitos ,Municipal,Jorge Covacevich,98,Iturbide,3462580353,jardinesmaternoinfantiles@gmail.com
Inicial,Pinceladas ,Municipal,Agüero,1460,San José Obrero,3462524631,jardinesmaternoinfantiles@gmail.com
Inicial,Rayito de Sol ,Municipal,Ayacucho,600,Victoria,3462525159,jardinesmaternoinfantiles@gmail.com
Inicial,Rocío de Miel ,Municipal,Agüero,1460,San José Obrero,3462524631,jardinesmaternoinfantiles@gmail.com
Inicial,Semillitas ,Municipal,Libertad,1400,Ciudad Nueva,3462523597,jardinesmaternoinfantiles@gmail.com
